study	accession/id	sample name	azole resistance/sensitive	clinical/environmental	country																																																																																																										
barber	SRR13579377	9-D-2-15L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579378	99-C-1-77s-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579379	978-B-1-46-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579380	940-A-2-43L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579381	93-D-2-48L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579382	92-D-2-43s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579383	91-D-2-50s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579384	901-A-2-45L-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579385	882-F-1-39-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579386	167-K-1-34L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579387	87-D-2-49L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579388	865-A-2-44L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579389	863-A-2-35L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579390	860-F-1-42-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579391	82-D-2-47L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579392	815-A-2-34L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579393	7-C-1-34s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579394	79-C-1-69s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579395	78-C-1-99L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579396	788-A-3-30s-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579397	164-K-1-3L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579398	540-K-1-1L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579399	13-D-2-43L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579400	52-C-1-64L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579401	514-H-1-29-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579402	487-E-1-20-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579403	479-L-2-13-4	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579404	476-H-1-21-9	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579405	468-H-1-30-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579406	459-H-1-21-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579407	454-A-3-40L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579408	441-A-3-45L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579409	439-A-3-46s-1	Resistant	Environmental	Germany																																																																																																										
barber	SRR13579410	12-D-2-44L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579411	410-L-2-21-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579412	407-L-2-4-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579413	394-L-2-24-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579414	393-A-3-43s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579415	390-A-2-36s-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579416	382-A-2-35s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579417	377-C-1-33L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579418	373-C-1-40L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579419	350-E-1-37L-2	unknown	unknown	Germany																																																																																																										
barber	SRR13579420	347-E-1-46-2	unknown	unknown	Germany																																																																																																										
barber	SRR13579421	128-A-2-27s-1	unknown	unknown	Germany																																																																																																										
barber	SRR13579422	333-C-1-28L-1	unknown	unknown	Germany																																																																																																										
barber	SRR13579423	328-C-1-30L-1	unknown	unknown	Germany																																																																																																										
barber	SRR13579424	326-C-1-31s-1	unknown	unknown	Germany																																																																																																										
barber	SRR13579425	319-B-1-30-1	unknown	unknown	Germany																																																																																																										
barber	SRR13579426	313-H-1-15-2	unknown	unknown	Germany																																																																																																										
barber	SRR13579427	303-B-1-32-3	unknown	unknown	Germany																																																																																																										
barber	SRR13579428	2-D-2-15L-3	unknown	unknown	Germany																																																																																																										
barber	SRR13579429	289-I-1-2-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579430	285-I-1-2-4	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579431	275-I-1-19-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579432	126-A-2-26s-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579433	271-I-1-32-1	unknown	unknown	Germany																																																																																																										
barber	SRR13579434	269-I-1-32-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579435	265-I-1-22-4	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579436	264-I-1-22-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579437	262-I-1-12-1	unknown	unknown	Germany																																																																																																										
barber	SRR13579439	259-I-1-25-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579440	255-F-1-3L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579441	254-F-1-13L-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579442	24-C-1-93s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579443	125-B-1-73L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579444	243-F-1-33L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579445	240-F-1-13L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579446	767-E-1-67s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579447	754-A-3-37s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579448	74-C-1-94L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579449	72-C-1-67s-1	Resistant	Environmental	Germany																																																																																																										
barber	SRR13579450	709-A-2-49L-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579451	703-E-1-66s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579452	6-C-1-49-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579453	699-A-2-49L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579454	698-L-3-11-2	Resistant	Environmental	Germany																																																																																																										
barber	SRR13579455	692-L-3-24-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579456	155-A-2-47s-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579457	690-L-3-22-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579458	684-L-3-7-1	Resistant	Environmental	Germany																																																																																																										
barber	SRR13579459	683-L-3-24-1	unknown	unknown	Germany																																																																																																										
